name,author,narrator,time,releasedate,language,stars,price
"Eleanor Roosevelt, Vol 1: 1884-1933",Writtenby:BlancheWiesenCook,Narratedby:BlancheWiesenCook,6 hrs and 18 mins,02-07-09,English,Not rated yet,585.00
Ike's Bluff,Writtenby:EvanThomas,Narratedby:BrianTroxell,13 hrs and 12 mins,25-09-12,English,Not rated yet,500.00
The Intimate Lives of the Founding Fathers,Writtenby:ThomasFleming,Narratedby:ArthurMorey,17 hrs and 43 mins,23-08-10,English,Not rated yet,"1,003.00"
Inventing a Nation,Writtenby:GoreVidal,"Narratedby:PaulHecht,GoreVidal",5 hrs and 12 mins,19-08-04,English,Not rated yet,668.00
The Lost Tudor Princess,Writtenby:AlisonWeir,Narratedby:MaggieMash,20 hrs and 29 mins,01-10-15,English,Not rated yet,990.00
The Dry Divide,Writtenby:RalphMoody,Narratedby:CameronBeierle,7 hrs and 25 mins,27-10-08,English,Not rated yet,668.00
More Time for Politics,Writtenby:TonyBenn,Narratedby:TonyBenn,4 hrs and 41 mins,07-11-07,English,Not rated yet,410.00
Faith of My Fathers,"Writtenby:JohnMcCain,MarkSalter",Narratedby:JohnMcCain,4 hrs and 49 mins,26-02-08,English,Not rated yet,703.00
Thomas Becket,Writtenby:JohnGuy,Narratedby:RoyMcMillan,13 hrs,07-12-12,English,Not rated yet,820.00
Report from Engine Co. 82,Writtenby:DennisSmith,Narratedby:LloydJames,2 hrs and 55 mins,02-05-03,English,Not rated yet,585.00
Dare to Be a Daniel,Writtenby:TonyBenn,Narratedby:TonyBenn,3 hrs and 37 mins,12-09-05,English,Not rated yet,410.00
All Too Human,Writtenby:GeorgeStephanopoulos,Narratedby:GeorgeStephanopoulos,3 hrs and 13 mins,16-12-99,English,5 out of 5 stars1 rating,500.00
Young Men and Fire,Writtenby:NormanMaclean,Narratedby:JohnMacLean,6 hrs and 6 mins,01-12-00,English,Not rated yet,668.00
Write It When I'm Gone,Writtenby:ThomasM.DeFrank,Narratedby:ScottBrick,8 hrs and 55 mins,23-10-07,English,Not rated yet,"1,005.00"
Jim Bridger: Founder of Bridger Wyoming and Famous Indian Fighter,Writtenby:CharlesH.L.Johnston,Narratedby:LarryG.Jones,45 mins,15-02-18,English,Not rated yet,140.00
American Lion,Writtenby:JonMeacham,Narratedby:JohnH.Mayer,10 hrs and 10 mins,11-11-08,English,Not rated yet,"1,005.00"
Batavia,Writtenby:PeterFitzSimons,Narratedby:RichardAspel,17 hrs,13-12-12,English,Not rated yet,"1,003.00"
Sandakan,Writtenby:PaulHam,Narratedby:RobertMeldrum,18 hrs and 23 mins,01-10-12,English,Not rated yet,"1,003.00"
American Ulysses,Writtenby:RonaldC.White,Narratedby:ArthurMorey,27 hrs and 35 mins,04-10-16,English,Not rated yet,"1,338.00"
R. E. Lee: Volume Four,Writtenby:DouglasSouthallFreeman,Narratedby:CharltonGriffin,18 hrs and 12 mins,14-02-18,English,Not rated yet,"1,313.00"
Ted Kennedy,Writtenby:EdwardKlein,Narratedby:ArthurMorey,6 hrs and 33 mins,19-05-09,English,Not rated yet,804.00
The Politically Incorrect Guide to Real American Heroes,Writtenby:BrionMcClanahan,Narratedby:TomWeiner,7 hrs and 56 mins,13-11-12,English,Not rated yet,668.00
Sherman,Writtenby:StevenWoodworth,Narratedby:TomWeiner,5 hrs and 29 mins,06-01-09,English,Not rated yet,585.00
Improbable Patriot,Writtenby:HarlowGilesUnger,Narratedby:PaulBoehmer,8 hrs and 3 mins,27-02-18,English,Not rated yet,586.00
Leap of Faith,Writtenby:QueenNoor,Narratedby:SuzanneToren,16 hrs and 20 mins,11-10-07,English,Not rated yet,"1,171.00"
Twelve Years a Slave,Writtenby:SolomonNorthup,Narratedby:TommieEarlJenkins,8 hrs and 39 mins,08-11-13,English,Not rated yet,713.00
The Heart of a Soldier,Writtenby:GeorgeE.Pickett,Narratedby:AndrewMulcare,3 hrs and 49 mins,10-01-12,English,Not rated yet,501.00
Douglas MacArthur,"Writtenby:JanetBenge,GeoffBenge",Narratedby:TimGregory,5 hrs and 15 mins,18-12-13,English,Not rated yet,668.00
The Work I Did,"Writtenby:BrunhildePomsel,ThoreD.Hansen",Narratedby:ElkadeWit,5 hrs and 5 mins,08-02-18,English,Not rated yet,569.00
The Amazing Mrs Livesey,Writtenby:FredaMarnieNicholls,Narratedby:EllaJames,7 hrs and 25 mins,01-12-16,English,Not rated yet,713.00
Company Aytch,Writtenby:SamWatkins,Narratedby:DanCalhoun,8 hrs and 33 mins,27-02-04,English,Not rated yet,836.00
Chief Joseph,Writtenby:CandyMoulton,Narratedby:JerrySciarrio,5 hrs and 45 mins,25-10-08,English,Not rated yet,668.00
John C. Calhoun: American Portrait,Writtenby:MargaretL.Coit,Narratedby:CharltonGriffin,29 hrs and 4 mins,17-12-14,English,Not rated yet,"1,338.00"
Oswald's Tale,Writtenby:NormanMailer,Narratedby:ChristopherLane,29 hrs and 17 mins,12-09-16,English,Not rated yet,"1,005.00"
The Lost Queen,Writtenby:NorahLofts,Narratedby:PatriciaGallimore,12 hrs and 45 mins,17-02-11,English,Not rated yet,558.00
Avenue of Spies,Writtenby:AlexKershaw,Narratedby:MarkDeakins,7 hrs and 14 mins,04-08-15,English,5 out of 5 stars1 rating,"1,005.00"
The Politically Incorrect Guide to the Founding Fathers,Writtenby:BrionMcClanahanPh.D.,Narratedby:TomWeiner,9 hrs and 25 mins,30-06-09,English,Not rated yet,836.00
The Secret Holocaust Diaries,"Writtenby:NonnaBannister,DeniseGeorge,CarolynTomlin",Narratedby:RebeccaGallagher,7 hrs and 35 mins,02-06-09,English,Not rated yet,656.00
Mary Boleyn,Writtenby:AlisonWeir,Narratedby:MaggieMash,13 hrs and 11 mins,14-11-11,English,Not rated yet,660.00
Ten Hours Until Dawn,Writtenby:MichaelJ.Tougias,Narratedby:JoeBarrett,10 hrs and 52 mins,12-04-06,English,Not rated yet,702.00
"The Authentic Life of Billy, the Kid",Writtenby:PatGarrett,Narratedby:LarryG.Jones,4 hrs and 53 mins,16-02-18,English,Not rated yet,501.00
"My Father, My President",Writtenby:DoroBushKoch,Narratedby:DoroBushKoch,5 hrs and 41 mins,10-10-06,English,Not rated yet,500.00
Giordano Bruno [Spanish Edition],Writtenby:OnlineStudioProductions,Narratedby:uncredited,46 mins,27-03-15,spanish,Not rated yet,141.00
"My Father, My President",Writtenby:DoroBushKoch,Narratedby:MarianneFraulo,25 hrs and 18 mins,31-10-13,English,Not rated yet,500.00
"Blue Ribbons, Bitter Bread",Writtenby:SusannadeVries,Narratedby:DeidreRubenstein,19 hrs and 48 mins,12-03-18,English,Not rated yet,"1,063.00"
David Livingstone,Writtenby:C.SilvesterHorne,Narratedby:RalphCosham,4 hrs and 21 mins,09-04-10,English,Not rated yet,585.00
Brothers,Writtenby:DavidTalbot,Narratedby:MelFoster,20 hrs and 40 mins,23-08-12,English,Not rated yet,"1,005.00"
Outlaws and Peace Officers,Writtenby:StephenBrennan-editor,Narratedby:BronsonPinchot,10 hrs and 44 mins,24-02-16,English,Not rated yet,836.00
The Autobiography of John Stuart Mill,Writtenby:JohnStuartMill,Narratedby:NoahWaterman,6 hrs and 56 mins,09-04-09,English,Not rated yet,702.00
Rivethead,Writtenby:BenHamper,Narratedby:JoeDonBaker,2 hrs and 38 mins,16-08-16,English,Not rated yet,333.00
Twilight at Monticello,Writtenby:AlanPellCrawford,Narratedby:JamesBoles,11 hrs and 12 mins,28-01-08,English,Not rated yet,820.00
The Pirate Queen,Writtenby:SusanRonald,Narratedby:JosephineBailey,13 hrs and 41 mins,21-09-07,English,Not rated yet,"1,003.00"
Al Capone,Writtenby:DeirdreBair,Narratedby:RobShapiro,16 hrs and 9 mins,25-10-16,English,Not rated yet,"1,256.00"
Pershing,Writtenby:JimLacey,Narratedby:TomWeiner,5 hrs and 33 mins,18-06-08,English,Not rated yet,668.00
"Jackie, Ethel, Joan",Writtenby:J.RandyTaraborrelli,Narratedby:BethFowler,5 hrs and 42 mins,29-02-00,English,Not rated yet,500.00
The Hamilton Collection,"Writtenby:DanTucker-editor,AlexanderHamilton",Narratedby:PeterBerkrot,8 hrs and 28 mins,25-10-16,English,Not rated yet,500.00
The Creation of Anne Boleyn,Writtenby:SusanBordo,Narratedby:BarbaraRosenblat,12 hrs,25-03-14,English,Not rated yet,"1,003.00"
Churchill and the King,Writtenby:KennethWeisbrode,Narratedby:ChristianRodska,5 hrs and 56 mins,31-10-13,English,Not rated yet,879.00
Grace and Power,Writtenby:SallyBedellSmith,Narratedby:AnneTwomey,5 hrs and 59 mins,30-04-04,English,Not rated yet,651.00
George Washington's Surprise Attack,Writtenby:PhillipThomasTucker,Narratedby:DennisHolland,27 hrs and 11 mins,14-03-14,English,Not rated yet,"1,338.00"
The Autobiography of Benjamin Franklin,Writtenby:BenjaminFranklin,Narratedby:BillDeWees,7 hrs and 34 mins,02-11-10,English,Not rated yet,668.00
